No ID	IMEI	MODEL	Grade	Batterie %	Agent	Vendeur	FACTURE	Description ou Panne	Date d'achat	Frais 	Pieces changées 	Prix d'achat	Prix de vente 	Signature	Photo Avant	Photo Arrière	Statut	Acheteur
22	352615458956314	iPhone 13	Grade B	94%	Alper	xObnC0tacNfhMXItiBkNKA		128g		10	?	200	339		Rachat Reprise_Images/22.Photo Avant.211459.jpg	Rachat Reprise_Images/22.Photo Arrière.211459.jpg	Prêt à la vente	
																		
24	356010303824881	iPhone 13	Grade B	83%	Alper	xObnC0tacNfhMXItiBkNKA		128g		10	?	200	359		Rachat Reprise_Images/24.Photo Avant.204107.jpg	Rachat Reprise_Images/24.Photo Arrière.204118.jpg	Prêt à la vente	
25	3521804444406973	iPhone 13			Alper	xObnC0tacNfhMXItiBkNKA		128g			Vitre Arrière / Batterie / VIBR (réparée ✅)	190	339				Prêt à la vente	
26	352615458388401	iPhone 13			Alper	xObnC0tacNfhMXItiBkNKA		128g			Vitre Arrière / Batterie / FLASH	180					En Attente	
27	353187651568402	iPhone 13	Grade C	78%	Alper	xObnC0tacNfhMXItiBkNKA		128g			FACE ID / BOUTON	150					En Attente	
28	353341830602174	iPhone 13			Alper	xObnC0tacNfhMXItiBkNKA		128g			ECRAN / Batterie / REBOOT	150					En Attente	
29	351133754564858	iPhone 13			Alper	xObnC0tacNfhMXItiBkNKA		128g			Châssis / ECRAN / CAM AV	150					En Attente	
30	352707667070894	iPhone 13		79%	Alper	xObnC0tacNfhMXItiBkNKA		128g			Vitre Arrière / ECOUTEUR INT	195					En Attente	
31	356129176998810	iPhone 13	Grade B	83%	Alper	xObnC0tacNfhMXItiBkNKA		128g		30	Vitre Arrière / ECRAN	190			Rachat Reprise_Images/31.Photo Avant.201657.jpg	Rachat Reprise_Images/31.Photo Arrière.201657.jpg	En Attente	
32	357332367398035	iPhone 13		87%	Alper	xObnC0tacNfhMXItiBkNKA		128g			CAM ARR / LENTILLE	155					En Attente	
33	35478923856885	iPhone 13		70%	Alper	xObnC0tacNfhMXItiBkNKA		128g			ECRAN / BOUTON	150					En Attente	
34	359251347992402	iPhone 13 Mini	Grade A 	96%	Alper	xObnC0tacNfhMXItiBkNKA		128g			?	270	299		Rachat Reprise_Images/34.Photo Avant.213610.jpg	Rachat Reprise_Images/34.Photo Arrière.213647.jpg	Prêt à la vente	
35	354692278552720	iPhone 13		70%	Alper	xObnC0tacNfhMXItiBkNKA		128g			Vitre Arrière / ECRAN	170					En Attente	
36	35682055366534	iPhone 12 Pro Max		82%	Alper	xObnC0tacNfhMXItiBkNKA		128g			?	260					En Attente	
37	356482101378065	iPhone 12 Pro	Grade C	100%	Alper	xObnC0tacNfhMXItiBkNKA		128g				210	339				Prêt à la vente	
38	356961139279791	iPhone 12 Pro		85%	Alper	xObnC0tacNfhMXItiBkNKA		128g			?	200	339				Prêt à la vente	
39	358611740968864	iPhone 12 Pro			Alper	xObnC0tacNfhMXItiBkNKA		128g			Vitre Arrière / Batterie	155					En Attente	
40	354957736662134	iPhone 12 Pro	Grade C	77%	Alper	xObnC0tacNfhMXItiBkNKA		128g			ECRAN AVANT / Vitre Arrière	140					En Attente	
41	357171858548777	iPhone 12 Pro	Grade C	78%	Alper	xObnC0tacNfhMXItiBkNKA		128g			CAM ARR / FACE ID	130					En Attente	
42	358452282224261	iPhone 12 Pro	Grade A 	91%	Alper	xObnC0tacNfhMXItiBkNKA		128g		15	ECRAN	155			Rachat Reprise_Images/42.Photo Avant.202838.jpg	Rachat Reprise_Images/42.Photo Arrière.202851.jpg	Prêt à la vente	
43	356693118674482	iPhone 12 Pro		83%	Alper	xObnC0tacNfhMXItiBkNKA		128g		50	Vitre Arrière	150			Rachat Reprise_Images/43.Photo Avant.000351.jpg	Rachat Reprise_Images/43.Photo Arrière.000359.jpg	Prêt à la vente	
44	350320093109039	iPhone 12 Pro		79%	Alper	xObnC0tacNfhMXItiBkNKA		128g			Vitre Arrière / HP INTERNE	140					En Attente	
45	357076835219518	iPhone 12		100%	Alper	xObnC0tacNfhMXItiBkNKA		64g			?	180	299				Prêt à la vente	
46	352243617891445	iPhone 12	Grade A	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				130	279		Rachat Reprise_Images/46.Photo Avant.204731.jpg	Rachat Reprise_Images/46.Photo Arrière.204738.jpg	Prêt à la vente	
47	357504279996904	iPhone 12	Grade A	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				130			Rachat Reprise_Images/47.Photo Avant.164535.jpg	Rachat Reprise_Images/47.Photo Arrière.164547.jpg	Vendu	
48	351601289890014	iPhone 12	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				130	259				Prêt à la vente	
49	351793390365554	iPhone 12	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				130	259				Prêt à la vente	
50	355727335492228	iPhone 12	Grade A	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				130	279		Rachat Reprise_Images/50.Photo Avant.210717.jpg	Rachat Reprise_Images/50.Photo Arrière.210729.jpg	Prêt à la vente	
51	353040117371806	iPhone 12	Grade A	86%	Alper	xObnC0tacNfhMXItiBkNKA		64g				130	279				Prêt à la vente	
52	350197042143933	iPhone 12	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				130	259				Prêt à la vente	
53	353057118835910	iPhone 12	Grade C	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				130	249		Rachat Reprise_Images/53.Photo Avant.210248.jpg	Rachat Reprise_Images/53.Photo Arrière.210302.jpg	Prêt à la vente	
54	354696408192091	iPhone 12	Grade A	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g			ECRAN INCELL	120					Prêt à la vente	
55	353035119617107	iPhone 12	Grade C	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g Face ID			VA/BAT/ECR	120			Rachat Reprise_Images/55.Photo Avant.212943.jpg	Rachat Reprise_Images/55.Photo Arrière.212955.jpg	Prêt à la vente	
56	351109220765170	iPhone 12		100%	Alper	xObnC0tacNfhMXItiBkNKA		64g			Vitre Arrière / Châssis / VERQUIL	110					En Attente	
57	353058117058082	iPhone 12		97%	Alper	xObnC0tacNfhMXItiBkNKA		64g			Vitre Arrière / Batterie	110					En Attente	
58	353253182057123	iPhone 12			Alper	xObnC0tacNfhMXItiBkNKA		64g			Vitre Arrière	110					En Attente	
59	356599147325444	iPhone 12	Grade C	87%	Alper	xObnC0tacNfhMXItiBkNKA		64g			FACE ID / ECRAN	100					En Attente	
60	352513429321991	iPhone 12	Grade C	82%	Alper	xObnC0tacNfhMXItiBkNKA		64g			Châssis / WIFI	60					En Attente	
61	35366975042874	iPhone 12	Grade C	70%	Alper	xObnC0tacNfhMXItiBkNKA		64g			ECRAN / Vitre Arrière / FACE ID	50					En Attente	
62	352704134156521	iPhone 12		80%	Alper	xObnC0tacNfhMXItiBkNKA		64g			?	60					En Attente	
																		
64	357078168054950	iPhone 12	à Réparer 	75%	Alper	xObnC0tacNfhMXItiBkNKA		64g				120			Rachat Reprise_Images/64.Photo Avant.211622.jpg	Rachat Reprise_Images/64.Photo Arrière.211622.jpg	En Attente	
																		
66	354760873392899	iPhone 12 Mini		95%	Alper	xObnC0tacNfhMXItiBkNKA		64g			?	170	279		Rachat Reprise_Images/66.Photo Avant.202647.jpg	Rachat Reprise_Images/66.Photo Arrière.202656.jpg	Prêt à la vente	
																		
68	352484816929137	iPhone 12	Grade B	87%	Alper	xObnC0tacNfhMXItiBkNKA		64g Face ID HS		20	Écran	80	259				Prêt à la vente	
																		
70	357848539830852	iPhone 12		86%	Alper	xObnC0tacNfhMXItiBkNKA		64g			Vitre Arrière / TACHE CAM	95					En Attente	
71	35875850596394	iPhone 12		83%	Alper	xObnC0tacNfhMXItiBkNKA		64g			Vitre Arrière / ECRAN	90					En Attente	
72	DX3FX93Q0DXP	iPhone 12		92%	Alper	xObnC0tacNfhMXItiBkNKA		64g			CAM AVT / ECRAN	90					En Attente	
73	353042118665111	iPhone 12		80%	Alper	xObnC0tacNfhMXItiBkNKA		64g			CAM ARR Châssis	90					En Attente	
74	355541825758018	iPhone 12	Grade A 	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g		45	Châssis / camARR (récup)/BAT	75			Rachat Reprise_Images/74.Photo Avant.002349.jpg	Rachat Reprise_Images/74.Photo Arrière.002349.jpg	Vendu	
75	357676152944340	iPhone 12		63%	Alper	xObnC0tacNfhMXItiBkNKA		64g			Châssis / CAM	75					En Attente	
76	352243612286567	iPhone 12	Grade A	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				60	259				Prêt à la vente	
77	353915102181247	iPhone 11 Pro Max		100%	Alper	xObnC0tacNfhMXItiBkNKA		64g			?	160			Rachat Reprise_Images/77.Photo Avant.212434.jpg	Rachat Reprise_Images/77.Photo Arrière.212441.jpg	Prêt à la vente	
78	352874110758059	iPhone 11 Pro Max		100%	Alper	xObnC0tacNfhMXItiBkNKA		64g			CAM AVT FLOU	130					En Attente	
79	353911103713195	iPhone 11 Pro Max	Grade B	83%	Alper	xObnC0tacNfhMXItiBkNKA		256g				160	279				Prêt à la vente	
80	353831108226995	iPhone 11 Pro	Grade A	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				130	199				Vendu	xObnC0tacNfhMXItiBkNKA
81	353967103825025	iPhone 11 Pro		100%	Alper	xObnC0tacNfhMXItiBkNKA		64g			NETTOYAGE / HP	120					En Attente	
82	353846109679786	iPhone 11 Pro	Grade C		Alper	xObnC0tacNfhMXItiBkNKA		64g			ECRAN / FACE ID	120					En Attente	
83	353232100462201	iPhone 11 Pro		72%	Alper	xObnC0tacNfhMXItiBkNKA		64g			ECRAN	100					En Attente	
84	353238105961774	iPhone 11 Pro		80%	Alper	xObnC0tacNfhMXItiBkNKA		64g			FACE ID / ECRAN	100					En Attente	
85	353238102088001	iPhone 11 Pro		71%	Alper	xObnC0tacNfhMXItiBkNKA		256g			FACE ID / POINT ECRAN	60					En Attente	
86	352827111085247	iPhone 11 Pro		73%	Alper	xObnC0tacNfhMXItiBkNKA		64g			FACE ID / Vitre Arrière	70					En Attente	
87	353845106138556	iPhone 11 Pro	Grade B	80%	Alper	xObnC0tacNfhMXItiBkNKA		64g				65	219				Prêt à la vente	
88	356817111018435	iPhone 11	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				120	219		Rachat Reprise_Images/88.Photo Avant.210339.jpg	Rachat Reprise_Images/88.Photo Arrière.210346.jpg	Prêt à la vente	
89	351010396528626	iPhone 11	Grade C	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g			Vitre Arrière / NETTOYAGE	110	200				Vendu	xObnC0tacNfhMXItiBkNKA
90	354003103472854	iPhone 11		83%	Alper	xObnC0tacNfhMXItiBkNKA		64g			?	80					En Attente	
91	352672769762535	iPhone 11	Grade A 	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g			?	110			Rachat Reprise_Images/91.Photo Avant.203029.jpg	Rachat Reprise_Images/91.Photo Arrière.203043.jpg	Prêt à la vente	
92	356552106157019	iPhone 11	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g				90	219				Prêt à la vente	
93	356497100432200	iPhone SE (2nd Gen)	Grade A	74%	Alper	xObnC0tacNfhMXItiBkNKA		128g				70	159				Prêt à la vente	
94	356487107825514	iPhone SE (2nd Gen)	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g		10	Batterie	70	125				Vendu	
95	356500109576669	iPhone SE (2nd Gen)	Grade B	75%	Alper	xObnC0tacNfhMXItiBkNKA		64g				70	150				Vendu	
96	35648410355542	iPhone SE (2nd Gen)	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		128g			ECRAN	75					En Attente	
97	356847113377745	iPhone SE (2nd Gen)	Grade B	73%	Alper	xObnC0tacNfhMXItiBkNKA		64g			ECRAN	55					En Attente	
98	356853117980377	iPhone SE (2nd Gen)	Grade B	75%	Alper	xObnC0tacNfhMXItiBkNKA		64g			MICRO / VIBREUR	55					En Attente	
99	356779112848881	iPhone SE (2nd Gen)		95%	Alper	xObnC0tacNfhMXItiBkNKA		128g			?	55					En Attente	
100	356132584935200	iPhone SE (2nd Gen)	Grade B	74%	Alper	xObnC0tacNfhMXItiBkNKA		64g			?	70	130				Vendu	
101	356132584925680	iPhone SE (2nd Gen)		75%	Alper	xObnC0tacNfhMXItiBkNKA					?	70					En Attente	
102	356786115013348	iPhone SE (2nd Gen)	à Réparer 	63%	Alper	xObnC0tacNfhMXItiBkNKA		128g				70	159				Prêt à la vente	
103	352874110758059	iPhone 11 Pro Max		100%				64g				130	249				Prêt à la vente	
																		
																		
																		
107	350273883687898	iPhone 12	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		64g		25		90	259		Rachat Reprise_Images/107.Photo Avant.213457.jpg	Rachat Reprise_Images/107.Photo Arrière.213457.jpg	Prêt à la vente	
																		
109	355727332046894	iPhone 12	Grade B	75%	Alper	xObnC0tacNfhMXItiBkNKA		64g batt<80%		50		60	259		Rachat Reprise_Images/109.Photo Avant.204938.jpg	Rachat Reprise_Images/109.Photo Arrière.204949.jpg	Prêt à la vente	
110	352784729136070	iPhone 12		83%				64g				125	259		Rachat Reprise_Images/110.Photo Avant.213313.jpg	Rachat Reprise_Images/110.Photo Arrière.213339.jpg	Prêt à la vente	
111	359551276093415	iPhone 13	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		128g		15	Bat	195	359		Rachat Reprise_Images/111.Photo Avant.212633.jpg	Rachat Reprise_Images/111.Photo Arrière.212633.jpg	Prêt à la vente	
																		
																		
114	355843705539785	iPhone 14 Plus	Grade A 	83%	Alper	xObnC0tacNfhMXItiBkNKA		128g				300	400				Vendu	
115	352858280634051	iPhone 12 Mini		90%				64g				110	219		Rachat Reprise_Images/115.Photo Avant.211706.jpg	Rachat Reprise_Images/115.Photo Arrière.211716.jpg	Prêt à la vente	
																		
																		
118	356820555366534	iPhone 12 Pro Max		82%				128g				260	389		Rachat Reprise_Images/118.Photo Avant.122447.jpg	Rachat Reprise_Images/118.Photo Arrière.122456.jpg	Prêt à la vente	
																		
																		
121	358397760599967	iPhone 14	Grade C	83%	Alper	xObnC0tacNfhMXItiBkNKA		128g	26/01/2026	20		210	379				Prêt à la vente	
122	358021948666163	iPhone 13	Grade B	94%	Alper	xObnC0tacNfhMXItiBkNKA		128g		10		200	270				Vendu	
123	3575225834774301	iPhone 14	Grade A 	83%	Lina	xObnC0tacNfhMXItiBkNKA		128g				260	429				Vendu	
																		
125	354715686258877	iPhone 14		88%				128g				330	449				Prêt à la vente	
126	353830109666381	iPhone 11 Pro	Grade A 		Alper	xObnC0tacNfhMXItiBkNKA		512go	11/02/2026			170	299		Rachat Reprise_Images/126.Photo Avant.142707.jpg	Rachat Reprise_Images/126.Photo Arrière.142707.jpg	Prêt à la vente	
127	356482101378065	iPhone 12 Pro	Grade C		Alper	xObnC0tacNfhMXItiBkNKA		En vitrine 128g	11/02/2026			210	329		Rachat Reprise_Images/127.Photo Avant.164207.jpg	Rachat Reprise_Images/127.Photo Arrière.164207.jpg	Prêt à la vente	
128	351601289890014	iPhone 12	Grade B	100%	Lina	j9aeZuGjeSsHjU8OcZ2NkA			18/02/2026			130	270				Prêt à la vente	
129	357076835219519	iPhone 12	Grade A 	100%	Alper	xObnC0tacNfhMXItiBkNKA			18/02/2026		Écran batterie	180			Rachat Reprise_Images/129.Photo Avant.204001.jpg	Rachat Reprise_Images/129.Photo Arrière.204001.jpg	Prêt à la vente	
130	358546116022427	iPhone 13	Grade A 		Alper	xObnC0tacNfhMXItiBkNKA			18/02/2026			220			Rachat Reprise_Images/130.Photo Avant.204428.jpg	Rachat Reprise_Images/130.Photo Arrière.204428.jpg	Prêt à la vente	
131	352874110758069	iPhone 11 Pro Max	Grade A 		Alper	xObnC0tacNfhMXItiBkNKA			18/02/2026		Bat	130			Rachat Reprise_Images/131.Photo Avant.205444.jpg	Rachat Reprise_Images/131.Photo Arrière.205444.jpg	Prêt à la vente	
132	352180444406973	iPhone 13	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA			18/02/2026	30	VA/BAT/vibreur	190			Rachat Reprise_Images/132.Photo Avant.211059.jpg	Rachat Reprise_Images/132.Photo Arrière.211059.jpg	Prêt à la vente	
133	356961139279791	iPhone 12 Pro	Grade A 	85%	Alper	xObnC0tacNfhMXItiBkNKA			18/02/2026		Écran	200			Rachat Reprise_Images/133.Photo Avant.211257.jpg	Rachat Reprise_Images/133.Photo Arrière.211257.jpg	Prêt à la vente	
134	356228321261734	iPhone 13	Grade B		Alper	xObnC0tacNfhMXItiBkNKA			18/02/2026		VA	230			Rachat Reprise_Images/134.Photo Avant.212420.jpg	Rachat Reprise_Images/134.Photo Arrière.212420.jpg	Prêt à la vente	
135	357692293957273	iPhone SE (2nd Gen)	Grade A 	83%	Alper	xObnC0tacNfhMXItiBkNKA			18/02/2026			70			Rachat Reprise_Images/135.Photo Avant.222142.jpg	Rachat Reprise_Images/135.Photo Arrière.222142.jpg	Prêt à la vente	
136	356788118618958	iPhone SE (2nd Gen)	Grade A 	95%	Lina	j9aeZuGjeSsHjU8OcZ2NkA			19/02/2026			70	149				Vendu	
137	358619995282311	Galaxy S20 FE 5G G781	Grade B	100%	Lina	j9aeZuGjeSsHjU8OcZ2NkA			19/02/2026			135	199				Prêt à la vente	
138	35194645123161601	Galaxy A32 5G A326	Grade B	0%	Lina	j9aeZuGjeSsHjU8OcZ2NkA			19/02/2026			90	149				Vendu	
139	351946450517973	Galaxy A32 5G A326	Grade C	0%	Lina	j9aeZuGjeSsHjU8OcZ2NkA			19/02/2026			80	149				Prêt à la vente	
140	351328113878383	Galaxy S20 FE 5G G781	Grade B	0%	Lina	j9aeZuGjeSsHjU8OcZ2NkA			19/02/2026			120	199				Prêt à la vente	
141	350555530473445	Pixel 7a	Grade A 	0%	Lina	j9aeZuGjeSsHjU8OcZ2NkA			19/02/2026			130	229				Prêt à la vente	
142	35036220358344801	Galaxy S21 FE G990	Grade C	0%	Lina	j9aeZuGjeSsHjU8OcZ2NkA			19/02/2026			180	239				Prêt à la vente	
143	3500170854037	iPhone 13 Pro Max	Grade A 	0%	Lina	j9aeZuGjeSsHjU8OcZ2NkA			19/02/2026			499					Prêt à la vente	
144	?	iPhone 11	Grade A 		Alper	xObnC0tacNfhMXItiBkNKA			19/02/2026			80	125				Vendu	
145	?	iPhone 11	Grade A 	100%	Alper	xObnC0tacNfhMXItiBkNKA			19/02/2026	25		60	160				Prêt à la vente	
146	195949806193	iPhone 16 Pro Max	Grade A 		Alper	xObnC0tacNfhMXItiBkNKA			20/02/2026			600			Rachat Reprise_Images/146.Photo Avant.201937.jpg	Rachat Reprise_Images/146.Photo Arrière.201937.jpg	Prêt à la vente	
